"id","bal","block","x","cond","trial","y","c2","task","cycle","dim1","dim2","cor","error","res","time","valence_current_group","valence_previous_group","switch","prev_error","mean_rt","sd_rt","rt_z"
"9",1,"2",0,"0",7,0,0,"1","1","2","4","2",0,"2",485,1,1,1,0,723.486486486486,363.182967480398,-0.656656583156968
"9",1,"2",0,"0",8,0,0,"1","2","1","4","1",0,"1",668,1,1,0,0,475.717948717949,127.662579258959,1.50617395009711
"9",1,"2",0,"0",9,0,0,"1","3","3","4","3",0,"3",525,1,1,0,0,502.837837837838,222.058990349851,0.0998030393961803
"9",1,"2",0,"0",10,0,0,"2","1","3","1","1",0,"1",524,2,1,1,0,626.714285714286,215.265167728025,-0.477152373504566
"9",1,"2",0,"0",11,0,0,"2","2","2","1","1",0,"1",317,2,1,0,0,613.3125,248.881554611439,-1.19057637864169
"9",1,"2",0,"0",12,0,0,"2","3","1","3","3",0,"3",509,2,1,0,0,675.820512820513,490.189537552614,-0.340318387155718
"9",1,"2",0,"0",13,0,0,"1","1","3","4","3",0,"3",676,1,2,1,0,628.463414634146,197.049371676361,0.241242004282708
"9",1,"2",0,"0",14,0,0,"1","2","1","4","1",0,"1",940,1,2,0,0,519.414634146341,163.364466088828,2.57452171774595
"9",1,"2",0,"0",15,0,0,"1","3","2","4","2",0,"2",333,1,2,0,0,498.380952380952,122.740843855215,-1.34739950603595
"9",1,"2",0,"0",16,0,0,"2","1","2","3","3",0,"3",868,2,1,1,0,626.714285714286,215.265167728025,1.12087671606288
"9",1,"2",0,"0",17,0,0,"2","2","3","2","2",0,"2",621,2,1,0,0,613.3125,248.881554611439,0.0308881870012503
"9",1,"2",0,"0",18,0,0,"2","3","1","3","3",0,"3",773,2,1,0,0,675.820512820513,490.189537552614,0.198248799157727
"9",1,"2",0,"0",19,0,0,"1","1","1","4","1",0,"1",661,1,2,1,0,628.463414634146,197.049371676361,0.1651189500837
"9",1,"2",0,"0",20,0,0,"1","2","2","4","2",0,"2",541,1,2,0,0,519.414634146341,163.364466088828,0.132130115994268
"9",1,"2",0,"0",21,0,0,"1","3","1","4","1",0,"1",452,1,2,0,0,498.380952380952,122.740843855215,-0.377877085769943
"9",1,"2",0,"0",22,0,0,"2","1","4","2","2",0,"2",477,1,1,1,0,723.486486486486,363.182967480398,-0.678684047868489
"9",1,"2",0,"0",23,0,0,"2","2","4","1","1",0,"1",516,1,1,0,0,475.717948717949,127.662579258959,0.315535308121424
"9",1,"2",0,"0",24,0,0,"2","3","4","2","2",0,"2",381,1,1,0,0,502.837837837838,222.058990349851,-0.548673294631683
"9",1,"2",0,"0",25,0,0,"1","1","2","1","2",0,"2",685,2,1,1,0,626.714285714286,215.265167728025,0.270762403880199
"9",1,"2",0,"0",26,0,0,"1","2","2","1","2",0,"2",380,2,1,0,0,613.3125,248.881554611439,-0.937443919314369
"9",1,"2",0,"0",27,0,0,"1","3","2","3","2",0,"2",437,2,1,0,0,675.820512820513,490.189537552614,-0.487200347059384
"9",1,"2",0,"0",28,0,0,"2","1","4","2","2",1,"1",621,1,2,1,0,628.463414634146,197.049371676361,-0.0378758611136526
"9",1,"2",0,"0",29,0,0,"2","2","4","2","2",0,"2",301,1,2,0,1,519.414634146341,163.364466088828,-1.33697761438268
"9",1,"2",0,"0",30,0,0,"2","3","4","3","3",0,"3",661,1,2,0,0,498.380952380952,122.740843855215,1.32489758511741
"9",1,"2",0,"0",31,0,0,"1","1","2","4","2",0,"2",925,1,1,1,0,723.486486486486,363.182967480398,0.554853975976695
"9",1,"2",0,"0",32,0,0,"1","2","1","4","1",0,"1",540,1,1,0,0,475.717948717949,127.662579258959,0.503530883170216
"9",1,"2",0,"0",33,0,0,"1","3","2","4","2",0,"2",564,1,1,0,0,502.837837837838,222.058990349851,0.275432046528727
"9",1,"2",0,"0",34,0,0,"2","1","4","2","2",0,"2",860,1,1,1,0,723.486486486486,363.182967480398,0.375880825195586
"9",1,"2",0,"0",35,0,0,"2","2","4","3","3",0,"3",597,1,1,0,0,475.717948717949,127.662579258959,0.950020373911099
"9",1,"2",0,"0",36,0,0,"2","3","4","3","3",0,"3",509,1,1,0,0,502.837837837838,222.058990349851,0.0277501133930844
"9",1,"2",0,"0",37,0,0,"1","1","2","1","2",0,"2",668,2,1,1,0,626.714285714286,215.265167728025,0.191790036081808
"9",1,"2",0,"0",38,0,0,"1","2","1","2","1",0,"1",541,2,1,0,0,613.3125,248.881554611439,-0.290549856588997
"9",1,"2",0,"0",39,0,0,"1","3","2","3","2",0,"2",572,2,1,0,0,675.820512820513,490.189537552614,-0.211796672240009
"9",1,"2",0,"0",40,0,0,"2","1","2","3","3",1,"2",397,2,2,1,0,698.816326530612,322.043260129067,-0.937191874189983
"9",1,"2",0,"0",41,0,0,"2","2","2","3","3",0,"3",309,2,2,0,1,522.446808510638,273.635334016281,-0.780041105721889
"9",1,"2",0,"0",42,0,0,"2","3","3","1","1",0,"1",893,2,2,0,0,570.148148148148,234.505453724843,1.37673494037657
"9",1,"2",0,"0",43,0,0,"1","1","2","1","2",0,"2",628,2,2,1,0,698.816326530612,322.043260129067,-0.219896937145124
"9",1,"2",0,"0",44,0,0,"1","2","2","3","2",0,"2",1149,2,2,0,0,522.446808510638,273.635334016281,2.28973788689177
"9",1,"2",0,"0",45,0,0,"1","3","3","1","3",1,"1",1212,2,2,0,0,570.148148148148,234.505453724843,2.73704445528575
"9",1,"2",0,"0",46,0,0,"2","1","4","3","3",0,"3",757,1,2,1,1,628.463414634146,197.049371676361,0.652306496957348
"9",1,"2",0,"0",47,0,0,"2","2","4","2","2",0,"2",476,1,2,0,0,519.414634146341,163.364466088828,-0.265753227649488
"9",1,"2",0,"0",48,0,0,"2","3","4","2","2",0,"2",845,1,2,0,0,498.380952380952,122.740843855215,2.8239910752766
"9",1,"2",0,"0",49,0,0,"1","1","2","4","2",0,"2",636,1,1,1,0,723.486486486486,363.182967480398,-0.240888186727006
"9",1,"2",0,"0",50,0,0,"1","2","3","4","3",0,"3",493,1,1,0,0,475.717948717949,127.662579258959,0.135372882032998
"9",1,"2",0,"0",51,0,0,"1","3","3","4","3",1,"2",389,1,1,0,0,502.837837837838,222.058990349851,-0.512646831630135
"9",1,"2",0,"0",52,0,0,"2","1","4","2","2",0,"2",565,1,1,1,1,723.486486486486,363.182967480398,-0.436381936041757
"9",1,"2",0,"0",53,0,0,"2","2","4","2","2",0,"2",325,1,1,0,0,475.717948717949,127.662579258959,-1.18059614330855
"9",1,"2",0,"0",54,0,0,"2","3","4","2","2",0,"2",420,1,1,0,0,502.837837837838,222.058990349851,-0.373044287499137
"9",1,"2",0,"0",55,0,0,"1","1","3","4","3",0,"3",533,1,1,1,0,723.486486486486,363.182967480398,-0.524491794887841
"9",1,"2",0,"0",56,0,0,"1","2","2","4","2",0,"2",573,1,1,0,0,475.717948717949,127.662579258959,0.762024798862306
"9",1,"2",0,"0",57,0,0,"1","3","3","4","3",0,"3",693,1,1,0,0,502.837837837838,222.058990349851,0.856358762428687
"9",1,"2",0,"0",58,0,0,"2","1","4","3","3",0,"3",589,1,1,1,0,723.486486486486,363.182967480398,-0.370299541907193
"9",1,"2",0,"0",59,0,0,"2","2","4","2","2",0,"2",508,1,1,0,0,475.717948717949,127.662579258959,0.252870116438493
"9",1,"2",0,"0",60,0,0,"2","3","4","1","1",0,"1",365,1,1,0,0,502.837837837838,222.058990349851,-0.620726220634779
"9",1,"2",0,"0",61,0,0,"1","1","2","4","2",0,"2",701,1,1,1,0,723.486486486486,363.182967480398,-0.0619150359458972
"9",1,"2",0,"0",62,0,0,"1","2","3","4","3",0,"3",461,1,1,0,0,475.717948717949,127.662579258959,-0.115287884698725
"9",1,"2",0,"0",63,0,0,"1","3","1","4","1",0,"1",509,1,1,0,0,502.837837837838,222.058990349851,0.0277501133930844
"9",1,"2",0,"0",64,0,0,"2","1","4","2","2",0,"2",645,1,1,1,0,723.486486486486,363.182967480398,-0.216107288926545
"9",1,"2",0,"0",65,0,0,"2","2","4","1","1",0,"1",260,1,1,0,0,475.717948717949,127.662579258959,-1.68975082573236
"9",1,"2",0,"0",66,0,0,"2","3","4","1","1",1,"2",404,1,1,0,0,502.837837837838,222.058990349851,-0.445097213502233
"9",1,"2",0,"0",67,0,0,"1","1","3","1","3",0,"3",581,2,1,1,1,626.714285714286,215.265167728025,-0.21236266970996
"9",1,"2",0,"0",68,0,0,"1","2","1","2","1",0,"1",789,2,1,0,0,613.3125,248.881554611439,0.705908078540769
"9",1,"2",0,"0",69,0,0,"1","3","2","1","2",0,"2",509,2,1,0,0,675.820512820513,490.189537552614,-0.340318387155718
"9",1,"2",0,"0",70,0,0,"2","1","2","1","1",1,"2",564,2,2,1,0,698.816326530612,322.043260129067,-0.418628001954089
"9",1,"2",0,"0",73,0,0,"1","1","1","3","1",0,"1",604,2,2,1,0,698.816326530612,322.043260129067,-0.294421086448486
"9",1,"2",0,"0",74,0,0,"1","2","2","3","2",0,"2",885,2,2,0,0,522.446808510638,273.635334016281,1.3249502034989
"9",1,"2",0,"0",75,0,0,"1","3","1","2","1",0,"1",508,2,2,0,0,570.148148148148,234.505453724843,-0.265017922444864
"9",1,"2",0,"0",76,0,0,"2","1","2","1","1",0,"1",1052,2,2,1,0,698.816326530612,322.043260129067,1.09669636721427
"9",1,"2",0,"0",77,0,0,"2","2","3","2","2",0,"2",501,2,2,0,0,522.446808510638,273.635334016281,-0.0783773359816254
"9",1,"2",0,"0",78,0,0,"2","3","2","1","1",0,"1",565,2,2,0,0,570.148148148148,234.505453724843,-0.0219532128842885
"9",1,"2",0,"0",79,0,0,"1","1","1","4","1",0,"1",581,1,2,1,0,628.463414634146,197.049371676361,-0.240870672311006
"9",1,"2",0,"0",80,0,0,"1","2","3","4","3",0,"3",573,1,2,0,0,519.414634146341,163.364466088828,0.328011146711195
"9",1,"2",0,"0",81,0,0,"1","3","1","4","1",0,"1",388,1,2,0,0,498.380952380952,122.740843855215,-0.899300908434012
"9",1,"2",0,"0",82,0,0,"2","1","2","3","3",0,"3",533,2,1,1,0,626.714285714286,215.265167728025,-0.435343472905418
"9",1,"2",0,"0",83,0,0,"2","2","2","1","1",0,"1",572,2,1,0,0,613.3125,248.881554611439,-0.165992614697776
"9",1,"2",0,"0",84,0,0,"2","3","3","1","1",0,"1",477,2,1,0,0,675.820512820513,490.189537552614,-0.405599258224014
"9",1,"2",0,"0",85,0,0,"1","1","1","2","1",0,"1",413,2,2,1,0,698.816326530612,322.043260129067,-0.887509107987741
"9",1,"2",0,"0",86,0,0,"1","2","2","3","2",0,"2",404,2,2,0,0,522.446808510638,273.635334016281,-0.432863719652488
"9",1,"2",0,"0",87,0,0,"1","3","3","2","3",0,"3",453,2,2,0,0,570.148148148148,234.505453724843,-0.499554045705069
"9",1,"2",0,"0",88,0,0,"2","1","4","2","2",0,"2",797,1,2,1,0,628.463414634146,197.049371676361,0.8553013081547
"9",1,"2",0,"0",89,0,0,"2","2","4","1","1",0,"1",580,1,2,0,0,519.414634146341,163.364466088828,0.370860122180523
"9",1,"2",0,"0",90,0,0,"2","3","4","2","2",0,"2",492,1,2,0,0,498.380952380952,122.740843855215,-0.0519871966049
"9",1,"2",0,"0",91,0,0,"1","1","1","2","1",0,"1",477,2,1,1,0,626.714285714286,215.265167728025,-0.695487743300119
"9",1,"2",0,"0",92,0,0,"1","2","1","3","1",0,"1",333,2,1,0,0,613.3125,248.881554611439,-1.12628876992364
"9",1,"2",0,"0",93,0,0,"1","3","2","1","2",0,"2",429,2,1,0,0,675.820512820513,490.189537552614,-0.503520564826458
"9",1,"2",0,"0",94,0,0,"2","1","4","3","3",0,"3",573,1,2,1,0,628.463414634146,197.049371676361,-0.281469634550476
